country,region,year,month,avg_temperature,rainfall_mm,festival,covid_restriction,gdp_growth_rate,foreign_exchange_rate,internet_mentions,global_travel_index,airline_ticket_price,hotel_occupancy_rate,visa_required,num_tourists,revenue_usd
Mexico,Americas,2013,Jul,19.4,30.9,No,None,3.8,96.34,995,65.07,572.05,72.45,No,76785,98637616.29
New Zealand,Oceania,2020,Jun,20.4,48.8,Yes,None,4.57,55.74,1000,78.96,570.44,84.16,Yes,117876,126852432.25
Egypt,Africa,2011,Jun,23.7,142.9,Yes,None,0.36,59.77,973,52.99,690.57,84.93,No,30945,26955689.6
China,Asia,2013,Dec,29.2,13.1,No,None,4.08,67.04,1042,80.11,603.28,41.95,Yes,48109,31534508.32
India,Asia,2019,Apr,6.3,97.0,Yes,None,0.88,30.07,1036,78.02,712.32,84.18,Yes,18261,8560869.99
Canada,Americas,2013,Dec,23.0,146.7,No,None,5.99,80.98,1038,70.72,661.13,88.53,Yes,49414,50668444.72
Italy,Europe,2017,Sep,19.2,0.0,Yes,None,4.89,7.99,1010,54.87,584.58,82.02,No,19612,15385858.73
France,Europe,2025,Jun,29.9,0.0,No,None,3.08,1.57,965,46.36,524.9,66.79,No,32689,22639370.16
UAE,Middle East,2014,Apr,27.1,89.0,Yes,Full,3.13,13.38,1030,88.26,394.29,60.18,Yes,40206,29157720.26
Russia,Europe,2021,Jun,25.2,58.9,Yes,Partial,4.31,36.04,956,51.57,496.84,73.7,Yes,18213,16660631.16
Canada,Americas,2025,Aug,25.9,125.6,No,None,2.65,113.11,983,46.72,567.4,94.66,Yes,30454,16252511.31
UK,Europe,2021,Aug,12.6,65.3,No,Partial,7.64,63.49,953,52.06,875.81,50.38,Yes,70340,55731745.25
Greece,Europe,2018,Nov,17.1,45.1,Yes,Partial,2.49,41.62,985,88.81,715.32,93.03,Yes,77943,92393776.39
Mexico,Americas,2011,Aug,24.6,143.5,No,Full,2.78,47.46,980,45.69,250.81,94.22,No,111634,73714132.83
Italy,Europe,2023,Oct,33.4,133.0,Yes,Partial,3.26,39.77,1010,80.54,505.69,77.19,No,71691,43770460.13
New Zealand,Oceania,2020,Apr,28.1,144.3,Yes,None,4.61,25.63,978,74.14,597.2,91.92,Yes,63751,42684965.71
UK,Europe,2011,Jan,22.5,156.8,Yes,None,3.47,75.19,950,45.57,648.83,56.09,Yes,69059,50491357.78
France,Europe,2018,Nov,31.3,97.9,No,Partial,4.77,106.43,967,52.38,688.71,46.55,Yes,60317,52226092.39
Argentina,Americas,2011,Sep,18.1,78.6,No,Full,5.86,114.3,965,58.13,672.54,45.18,Yes,51330,61733232.88
Mexico,Americas,2018,Aug,26.9,116.6,No,Partial,3.05,101.69,1041,44.0,567.82,40.67,Yes,28006,26171741.87
Japan,Asia,2021,Feb,15.4,73.8,Yes,None,0.86,60.71,944,47.39,646.15,90.71,Yes,5794,6192664.0
USA,Americas,2017,Sep,31.1,52.4,No,None,1.84,1.07,1015,43.16,611.13,79.27,No,23060,22432183.55
Germany,Europe,2013,Jan,25.4,107.6,Yes,None,2.78,102.29,1025,81.47,389.79,85.14,Yes,79382,40419433.32
Indonesia,Asia,2012,Dec,21.4,111.7,Yes,None,4.94,109.13,1026,53.63,580.65,62.98,No,95925,65641470.44
China,Asia,2025,Dec,35.4,18.3,Yes,None,1.18,56.7,1003,50.38,789.9,87.24,Yes,44656,54625059.35
Brazil,Americas,2023,Mar,28.6,66.8,No,None,2.07,85.0,993,47.7,409.55,81.63,No,97124,89262523.01
New Zealand,Oceania,2012,Dec,18.8,110.9,Yes,None,1.05,81.86,909,65.44,548.82,80.15,No,33458,29681653.72
UK,Europe,2017,Oct,19.9,97.4,Yes,None,2.77,97.95,956,88.04,496.41,53.49,No,83649,86597041.52
France,Europe,2010,Sep,18.9,136.3,No,None,2.16,89.51,1043,66.26,467.93,49.72,Yes,77916,60180987.36
Bhutan,Asia,2012,Dec,16.5,0.0,Yes,Full,1.42,108.53,998,69.75,691.15,80.49,No,42603,37943098.46
Japan,Asia,2023,Nov,25.0,31.4,No,Full,3.11,100.93,952,62.46,671.33,53.46,Yes,56752,71217476.47
Mexico,Americas,2010,Dec,23.1,45.2,Yes,Full,2.0,86.24,940,74.29,741.85,55.06,No,16375,16756290.61
Switzerland,Europe,2017,Mar,20.1,68.5,Yes,Partial,5.61,34.56,1017,73.09,551.24,82.37,Yes,41171,25648181.57
Mexico,Americas,2018,Nov,27.7,81.1,Yes,None,1.17,117.05,992,48.93,808.83,81.13,Yes,86562,75267687.93
USA,Americas,2016,Mar,17.1,97.0,No,None,3.92,89.25,969,85.73,762.8,94.36,No,69248,26531870.64
USA,Americas,2014,Feb,15.1,130.5,No,None,4.89,22.24,980,88.74,730.23,71.86,No,88977,56197192.11
Kenya,Africa,2021,Mar,24.9,15.6,No,Full,3.54,72.61,965,41.6,303.64,67.5,No,29876,17547912.34
Brazil,Americas,2012,Dec,25.0,73.3,Yes,None,5.14,119.56,1011,76.77,516.76,45.2,Yes,50436,55738936.82
Indonesia,Asia,2022,Nov,18.8,0.0,No,None,1.88,49.53,946,60.48,744.03,46.82,Yes,67486,54834121.18
France,Europe,2012,Oct,16.2,124.1,No,None,4.83,38.66,965,43.13,546.99,42.21,No,73026,68442329.52
Greece,Europe,2010,Nov,36.4,74.4,Yes,None,1.61,6.07,1013,86.63,356.28,64.29,Yes,24991,24299308.6
Switzerland,Europe,2025,Nov,27.3,51.7,No,None,2.36,29.05,1005,69.93,943.31,77.44,Yes,89391,59266753.94
Japan,Asia,2020,Jan,16.0,30.5,Yes,Partial,0.85,115.69,991,61.7,667.92,51.94,No,48072,32663707.38
Vietnam,Asia,2019,Feb,25.1,31.0,No,None,3.27,28.03,1051,53.08,512.23,76.3,Yes,23385,20251453.31
Indonesia,Asia,2016,Apr,28.4,71.5,No,None,2.06,77.3,992,56.2,879.63,66.28,No,87656,42739122.92
France,Europe,2020,Jul,21.2,112.7,No,Full,3.62,25.74,980,70.15,570.71,86.51,Yes,112567,125403859.26
Brazil,Americas,2023,Apr,30.0,75.2,No,None,2.63,54.37,1022,77.55,453.7,62.59,No,11126,9459502.4
France,Europe,2014,Jun,27.0,175.3,Yes,None,4.15,108.35,1003,44.81,402.7,74.21,Yes,41748,25906452.67
Japan,Asia,2011,Oct,27.1,39.8,No,Full,2.09,49.47,1013,61.51,500.9,60.98,Yes,66119,36520244.63
Japan,Asia,2024,Oct,9.0,25.7,Yes,Partial,4.12,57.03,995,64.47,433.34,50.18,No,87764,62177132.93
Bhutan,Asia,2025,Jan,18.3,102.2,Yes,Partial,4.61,34.24,1032,75.28,778.3,82.34,No,5241,5629447.33
Mexico,Americas,2013,Jul,16.1,57.4,No,None,6.03,17.87,993,89.18,738.86,92.08,No,56920,38069335.89
Italy,Europe,2025,May,18.3,96.8,Yes,None,1.44,108.54,1008,69.79,636.74,94.17,Yes,83714,31527091.42
Mexico,Americas,2016,Nov,25.0,111.5,Yes,None,3.99,83.35,979,53.58,653.26,53.01,No,97918,90750635.87
Greece,Europe,2013,Dec,16.1,89.8,Yes,None,4.03,9.56,995,64.72,609.94,88.22,Yes,10066,8504574.27
Indonesia,Asia,2013,Aug,27.5,3.6,No,Partial,3.64,58.5,928,84.91,567.87,48.88,No,108615,88724333.47
Argentina,Americas,2015,Aug,28.4,77.0,Yes,None,0.28,68.54,1024,60.99,719.21,65.63,No,32846,28796244.61
Brazil,Americas,2015,Dec,18.7,105.7,Yes,None,2.88,90.61,994,49.51,546.01,46.02,Yes,46502,31482109.62
Japan,Asia,2020,Aug,23.1,104.7,Yes,None,1.06,88.36,1018,84.07,672.49,82.9,No,83895,71384891.37
Russia,Europe,2018,May,19.4,49.9,No,None,3.88,67.13,976,79.23,322.73,57.95,Yes,72000,71284621.46
Vietnam,Asia,2022,Jan,13.6,44.0,No,None,4.95,30.99,1019,57.73,554.81,71.65,Yes,22795,10991331.42
Egypt,Africa,2018,Dec,26.4,142.9,No,None,2.46,105.64,1013,58.82,559.77,66.17,No,39711,19685088.88
Kenya,Africa,2014,Jan,13.5,37.6,Yes,None,3.86,58.49,1024,62.93,777.31,62.59,No,17029,18774370.66
UAE,Middle East,2013,Jul,18.3,93.2,No,None,5.48,10.71,1009,81.23,536.14,44.31,Yes,68832,72044244.89
India,Asia,2017,Aug,17.1,58.1,No,None,1.82,97.38,1009,54.08,713.28,93.52,No,7800,3437311.46
Argentina,Americas,2013,Jan,30.2,54.8,Yes,None,-2.72,23.31,1032,88.59,582.72,85.13,No,44179,33496896.19
Bhutan,Asia,2020,Jun,26.3,30.0,No,Partial,2.66,18.2,994,87.93,499.24,44.61,Yes,85725,101045477.91
India,Asia,2013,Aug,16.6,202.9,No,None,4.53,104.89,1015,84.65,597.63,43.03,Yes,68218,43257113.54
Brazil,Americas,2014,Jun,24.0,147.2,No,Partial,2.85,49.2,1019,64.02,510.84,47.27,Yes,12282,11330531.61
Spain,Europe,2020,Mar,27.9,132.4,Yes,None,2.34,63.66,960,67.84,807.99,94.16,No,37269,24628312.46
South Africa,Africa,2018,Feb,19.5,132.1,No,Partial,2.91,73.93,1047,45.32,609.38,54.39,Yes,27731,39668232.98
New Zealand,Oceania,2013,Apr,34.3,56.1,Yes,Partial,4.55,108.55,1015,41.99,415.37,68.87,No,86314,51491327.44
South Korea,Asia,2012,Oct,23.3,98.6,Yes,None,3.26,41.48,1052,78.09,661.99,45.96,No,31057,35007482.62
South Korea,Asia,2012,Dec,24.7,111.9,Yes,None,-0.34,23.46,987,85.64,643.57,42.99,No,63119,61051301.2
Indonesia,Asia,2024,Sep,24.2,65.8,No,Partial,3.89,101.31,940,87.5,529.88,44.78,No,34283,35043758.92
Egypt,Africa,2018,Sep,23.0,0.0,No,None,2.45,5.23,1036,84.94,546.28,57.51,No,20147,14727783.98
UAE,Middle East,2010,Nov,24.7,0.0,No,None,1.45,96.44,972,44.81,711.44,90.04,No,54829,47218497.88
Germany,Europe,2025,Jan,28.8,81.6,No,Full,3.27,47.47,1027,53.7,531.86,82.73,No,55719,33017321.71
Nepal,Asia,2019,Sep,23.1,0.8,Yes,None,4.33,42.12,927,75.32,479.1,77.89,Yes,24589,25831201.16
Germany,Europe,2022,Dec,21.3,160.8,Yes,None,2.03,85.77,1010,68.32,414.77,53.25,No,97292,103360029.4
UAE,Middle East,2016,Feb,30.7,89.4,Yes,Partial,2.06,70.74,990,88.08,621.45,82.14,No,53851,45355273.56
Russia,Europe,2015,Jul,15.2,16.3,No,None,3.01,66.53,990,44.26,562.74,43.92,No,71155,48053293.77
Vietnam,Asia,2017,Apr,21.3,13.4,Yes,None,4.86,59.34,995,52.72,485.55,78.57,Yes,23998,15933425.94
South Africa,Africa,2018,Dec,15.0,87.4,Yes,Partial,2.42,58.86,1037,79.17,482.38,54.02,No,92249,94007501.15
Switzerland,Europe,2022,Mar,29.8,1.4,No,None,0.41,118.44,999,63.16,364.25,59.18,Yes,84763,61017421.04
UAE,Middle East,2011,Sep,16.2,133.9,Yes,Full,2.04,33.18,1066,83.66,910.66,65.18,No,21638,22401614.31
Germany,Europe,2017,Apr,21.7,123.4,Yes,None,4.24,72.91,1041,88.3,728.19,43.29,Yes,85974,60642384.0
Turkey,Middle East,2021,Sep,16.9,43.2,No,None,2.54,12.8,1016,65.88,508.27,72.57,Yes,6431,6136232.43
Thailand,Asia,2017,May,30.5,142.8,No,None,3.41,53.92,1013,89.28,910.33,63.79,Yes,8723,6519176.09
Kenya,Africa,2012,Apr,30.6,0.0,Yes,None,2.6,23.81,997,44.37,719.92,59.36,Yes,73719,59879722.66
Morocco,Africa,2012,Apr,25.6,8.3,No,Partial,4.95,94.91,1064,88.44,348.31,79.26,No,22328,14117766.38
Argentina,Americas,2013,Nov,14.4,0.0,No,Full,3.18,11.08,1043,85.23,454.47,48.55,No,43040,37041692.34
Switzerland,Europe,2025,Oct,24.9,135.0,Yes,None,2.77,20.39,968,50.94,587.54,82.61,No,95696,90731184.83
Bhutan,Asia,2018,Jan,23.2,0.0,No,None,0.67,91.64,962,78.8,484.77,52.84,Yes,85495,57539639.11
Thailand,Asia,2025,Jul,9.7,77.0,No,None,1.76,13.66,969,88.11,641.6,52.77,Yes,57162,50887954.83
Russia,Europe,2021,Aug,21.7,0.0,Yes,None,2.4,35.08,1031,83.02,951.2,65.56,Yes,31921,35246723.08
Switzerland,Europe,2022,Jun,22.0,26.5,Yes,None,4.79,117.02,969,77.53,434.08,82.41,No,98444,45781982.24
Argentina,Americas,2020,Feb,12.1,118.1,No,None,3.2,27.19,990,64.6,713.68,94.33,Yes,70745,33882766.07
Argentina,Americas,2021,Sep,20.6,121.5,Yes,None,2.9,63.36,997,75.7,379.61,42.57,Yes,95470,79268983.51
Turkey,Middle East,2025,Jul,12.5,65.1,Yes,None,0.03,93.6,998,43.57,669.08,72.67,Yes,49603,49871293.69
Turkey,Middle East,2022,Jul,35.6,12.4,No,None,1.67,82.18,1046,76.89,588.51,54.29,Yes,25611,15648804.03
Vietnam,Asia,2010,Sep,15.5,96.1,No,Partial,1.86,96.37,983,63.06,668.61,75.78,Yes,36274,24362980.92
Switzerland,Europe,2025,Dec,22.7,115.0,No,None,2.25,106.22,1033,42.83,543.98,78.1,Yes,44279,46518482.09
Mexico,Americas,2017,Apr,18.2,0.0,Yes,None,4.05,51.15,1011,77.55,460.23,44.61,No,54381,54383791.79
Nepal,Asia,2022,Mar,23.4,118.5,No,Full,2.29,98.91,1045,77.98,534.52,58.61,Yes,75712,85949004.71
Canada,Americas,2018,Aug,19.3,53.8,No,Full,3.65,107.3,1020,81.01,542.51,68.48,Yes,20233,5898671.39
Kenya,Africa,2025,Apr,26.8,38.6,No,None,3.91,14.96,973,46.53,446.55,52.91,Yes,46503,41903665.69
New Zealand,Oceania,2012,Sep,24.6,69.0,Yes,None,2.87,25.91,1050,76.24,634.68,60.06,No,5755,6139075.48
Switzerland,Europe,2017,Nov,30.0,57.1,Yes,None,2.59,66.78,985,63.93,640.31,93.68,No,60394,41149462.85
Japan,Asia,2014,Sep,24.4,0.0,Yes,None,6.13,76.33,1007,46.89,623.3,44.66,Yes,24962,28726041.91
China,Asia,2023,Feb,14.2,50.1,No,None,2.82,41.15,947,42.4,233.79,85.38,Yes,37272,23878567.61
Italy,Europe,2021,Nov,18.4,78.1,No,None,2.99,8.98,992,79.72,857.17,85.02,Yes,58879,42550099.66
Argentina,Americas,2012,Mar,27.6,142.0,Yes,Partial,1.95,91.82,1013,48.02,333.59,40.33,No,9275,10386515.82
China,Asia,2011,Dec,25.7,94.9,No,None,1.68,70.45,985,41.57,708.2,78.77,No,91688,97047999.38
UAE,Middle East,2022,Dec,32.6,165.8,Yes,None,5.15,59.25,1044,52.14,453.43,53.45,Yes,24115,18557760.25
Mexico,Americas,2024,Jul,23.9,133.3,No,None,1.68,57.79,984,77.81,492.82,85.96,Yes,64969,43578016.66
New Zealand,Oceania,2022,Dec,32.4,117.4,No,Full,-1.12,19.4,1049,79.28,593.43,58.85,Yes,99686,110016994.69
Bhutan,Asia,2023,Apr,23.7,53.9,Yes,Partial,4.54,82.24,1000,42.25,563.82,78.77,Yes,17325,13669592.47
Canada,Americas,2020,Aug,24.8,34.1,Yes,Full,3.7,112.22,986,83.46,635.57,68.76,No,69679,55866579.17
Switzerland,Europe,2019,Sep,15.1,90.9,No,Partial,4.71,64.03,1007,49.76,760.59,81.82,No,31698,23206879.15
India,Asia,2024,Sep,35.6,44.4,No,None,2.91,30.08,999,77.78,431.71,92.56,No,76176,26339269.75
Greece,Europe,2013,Dec,23.5,44.2,No,None,2.72,96.6,1045,78.14,869.57,63.89,No,13637,9532034.65
China,Asia,2025,Jul,18.8,10.6,Yes,None,1.88,39.57,936,46.41,434.11,56.18,Yes,98090,107002633.26
Kenya,Africa,2023,Jun,26.7,66.6,No,None,5.47,41.58,1032,48.1,667.09,46.09,Yes,76615,68836182.59
New Zealand,Oceania,2011,Apr,13.1,135.8,No,None,3.71,73.3,976,80.65,612.63,46.37,Yes,79799,92248552.55
Nepal,Asia,2021,Sep,24.8,40.5,No,None,5.86,67.02,964,74.48,786.32,94.8,No,95587,62218491.04
Nepal,Asia,2013,Feb,19.6,74.6,No,None,4.99,5.05,1065,65.58,488.58,85.74,No,62925,53113276.01
Japan,Asia,2018,Feb,23.5,62.8,Yes,None,5.86,3.17,999,76.79,588.04,86.55,Yes,66245,70726836.76
China,Asia,2021,Oct,23.6,56.8,Yes,None,1.5,31.71,948,57.97,494.33,84.96,No,38236,22596374.36
Spain,Europe,2015,Aug,27.9,52.8,Yes,None,1.9,118.51,1035,62.77,916.17,94.49,Yes,82885,79414060.93
Germany,Europe,2025,Apr,16.3,135.4,No,Partial,2.85,56.26,1010,67.68,510.7,53.01,No,15213,17707910.9
Greece,Europe,2023,Aug,23.2,82.5,Yes,Partial,6.38,65.37,1046,87.22,696.46,56.75,Yes,86268,77674542.45
Thailand,Asia,2020,Dec,25.1,66.1,Yes,Partial,6.02,31.14,1018,69.13,474.36,57.33,Yes,68693,64548758.96
Thailand,Asia,2010,Nov,12.7,0.0,No,None,1.6,83.33,1004,67.54,508.03,81.75,Yes,50206,17382459.06
Australia,Oceania,2011,Sep,35.2,106.5,No,Partial,3.88,83.7,975,79.94,775.24,70.12,Yes,36728,27067507.41
Bhutan,Asia,2016,Feb,27.2,179.7,Yes,Partial,4.63,58.97,1035,66.88,410.9,54.53,Yes,78908,79284744.59
Switzerland,Europe,2024,Jan,21.0,71.4,Yes,None,1.36,97.01,1011,80.76,766.73,79.32,Yes,66661,50795636.91
Nepal,Asia,2013,Sep,7.1,114.4,Yes,None,5.79,100.29,986,54.18,701.38,55.05,No,52323,29639663.0
Brazil,Americas,2025,Nov,14.1,157.1,Yes,None,0.54,78.5,925,75.08,682.73,52.79,Yes,46177,53344498.23
Thailand,Asia,2020,Jan,15.7,76.8,No,Partial,4.9,79.22,983,41.37,641.51,69.6,Yes,13781,9289886.07
UK,Europe,2022,Apr,26.9,88.4,Yes,None,6.31,53.8,990,51.25,320.59,68.1,Yes,18133,19605685.25
Spain,Europe,2021,Jan,7.8,74.8,No,Full,2.07,39.05,978,58.4,541.11,81.73,No,88433,77870921.0
Kenya,Africa,2021,Sep,28.5,39.3,Yes,None,3.03,95.87,1003,87.23,364.06,78.85,No,23605,19368458.53
Spain,Europe,2013,Sep,19.3,84.8,Yes,Partial,2.97,66.02,1048,68.45,627.41,59.3,No,70413,40346883.98
Mexico,Americas,2014,Jan,10.3,157.1,Yes,Partial,4.72,84.88,1018,76.19,587.51,72.07,Yes,62840,46962460.93
Vietnam,Asia,2019,Jun,20.3,91.7,No,Partial,3.45,109.24,1035,60.36,415.72,80.73,No,45753,46546133.65
Vietnam,Asia,2018,Nov,17.7,12.1,No,None,3.86,39.87,984,62.63,430.33,56.83,No,45435,50125994.93
Morocco,Africa,2023,Dec,20.1,96.6,No,None,2.37,111.05,1053,67.22,567.62,87.85,Yes,56549,52010865.64
India,Asia,2020,Feb,10.7,148.2,Yes,None,4.19,91.79,1042,59.45,752.1,90.11,Yes,83668,57923463.06
Nepal,Asia,2014,Aug,17.7,93.2,No,Full,4.22,10.03,1009,84.19,859.37,47.97,Yes,22147,22868076.36
South Korea,Asia,2014,Nov,30.9,2.0,No,None,1.55,5.12,965,84.12,797.8,82.41,Yes,93564,46641324.21
Indonesia,Asia,2013,Dec,12.7,13.1,Yes,Partial,3.14,46.19,1029,88.83,777.53,68.3,Yes,37057,23294500.75
Egypt,Africa,2021,Apr,11.9,166.3,No,None,2.2,17.96,983,75.63,587.16,42.84,No,84844,78367294.47
Japan,Asia,2021,Sep,36.4,22.1,Yes,None,1.31,89.46,989,50.22,237.22,47.97,No,15711,6996302.46
Thailand,Asia,2021,Jan,20.0,0.0,No,None,1.42,107.79,978,56.54,687.82,46.42,Yes,60004,31861148.04
Kenya,Africa,2020,Mar,20.2,70.5,No,None,3.16,17.36,1036,53.7,492.0,71.68,Yes,40252,34848149.53
Russia,Europe,2019,May,23.8,157.5,No,None,2.25,67.43,991,60.51,544.7,84.11,No,68244,45549369.98
Greece,Europe,2016,Aug,19.7,28.7,No,None,1.58,95.97,977,88.13,675.27,68.68,No,7926,4183590.24
UAE,Middle East,2024,Mar,13.9,43.3,Yes,None,2.08,57.54,1012,44.66,498.24,76.82,Yes,37781,37154630.01
Spain,Europe,2013,Feb,24.3,163.1,No,None,4.55,47.39,965,68.23,540.91,40.4,No,94415,53883226.01
Spain,Europe,2016,Jan,14.9,60.3,Yes,None,3.07,34.04,949,63.21,516.8,90.05,No,66268,43303779.16
France,Europe,2014,Mar,16.8,59.1,No,None,3.64,18.18,1023,80.3,304.15,94.09,Yes,91637,81796971.7
Japan,Asia,2022,Jul,23.5,98.7,Yes,None,1.36,46.56,1030,87.77,551.18,94.48,No,28218,18745677.07
Kenya,Africa,2016,Jul,17.1,182.4,Yes,None,3.59,31.33,1032,86.76,290.83,78.43,No,37071,43246633.45
Argentina,Americas,2014,Sep,24.4,85.8,No,None,4.73,56.55,973,84.32,762.46,58.37,Yes,15009,16385256.72
Morocco,Africa,2018,Dec,25.6,9.9,No,Partial,3.62,44.13,989,84.87,672.63,52.45,Yes,96953,58439669.85
Spain,Europe,2019,Apr,16.8,158.2,No,None,2.94,92.91,1014,81.36,668.87,80.25,Yes,73773,58879020.77
Kenya,Africa,2021,Jun,28.9,117.9,No,None,5.2,28.49,946,47.44,483.22,94.88,No,113402,90018810.19
USA,Americas,2019,Nov,22.5,73.1,No,None,-0.69,89.16,1010,55.25,670.19,65.47,Yes,98668,106153892.18
Bhutan,Asia,2014,Nov,26.9,0.0,No,Full,5.13,33.66,950,41.47,549.93,41.35,Yes,74814,68539720.06
Germany,Europe,2024,Apr,28.7,95.9,Yes,None,1.75,50.06,1058,58.53,407.32,80.85,No,62378,40309696.38
UAE,Middle East,2020,Oct,25.2,26.1,Yes,None,3.57,69.35,1037,67.31,334.12,71.12,Yes,10973,9988137.32
France,Europe,2014,Jun,34.2,110.7,No,None,2.46,106.06,984,85.13,682.68,69.4,No,115240,97228540.32
Mexico,Americas,2017,Jul,20.0,217.5,No,None,2.93,11.78,962,82.36,349.86,79.76,Yes,115236,126400367.03
Argentina,Americas,2013,Aug,16.0,0.0,Yes,Partial,5.86,114.14,968,62.18,421.7,44.49,No,99212,98766034.95
Australia,Oceania,2015,Nov,27.0,87.4,Yes,None,2.77,65.86,1033,51.12,521.81,87.33,Yes,94677,49513576.34
Morocco,Africa,2015,Jun,31.2,95.2,Yes,None,2.7,44.83,1049,59.32,543.05,86.05,No,53701,45861337.28
Greece,Europe,2013,Nov,26.7,117.3,Yes,None,0.98,19.44,1042,85.76,507.62,66.95,Yes,67559,57082819.73
Italy,Europe,2017,Apr,24.4,126.2,Yes,Full,3.33,77.67,974,40.72,565.34,78.25,Yes,42957,27294402.24
France,Europe,2014,Sep,16.6,0.0,No,Partial,4.33,24.9,1057,69.95,987.52,51.03,No,24659,22004287.07
New Zealand,Oceania,2013,Jul,21.0,61.8,No,Partial,1.47,64.96,1004,49.54,501.25,69.87,Yes,29352,23490193.16
UAE,Middle East,2022,Apr,21.1,101.5,No,None,2.63,42.1,1008,66.99,662.09,79.47,No,82485,31088689.84
