actual_tourists,predicted_tourists
52349,47340.14
49237,78404.58
27178,30013.82
82387,79937.26
16053,26908.06
109038,102045.08
63563,70525.9
95052,106476.1
91725,84665.46
23708,29029.49
69872,59079.69
8723,13106.79
23088,42684.12
82890,87369.47
94908,71987.21
38841,49543.91
7655,6858.65
114794,95060.62
73909,43392.77
85037,70418.04
69745,79573.62
21151,34496.49
30934,24699.01
81904,78952.76
55954,74116.44
66817,73557.05
49482,49295.21
71866,88345.24
20595,13023.62
85701,49323.42
89783,83894.23
58374,37135.78
86353,71808.73
77975,84923.83
36898,34474.95
78873,71342.77
73778,82000.95
40145,54549.65
59319,62997.95
91927,95396.95
83881,80070.01
32233,61337.81
79050,76692.74
77212,54900.09
39157,62745.75
48072,43877.06
5902,7322.68
89591,82825.31
48086,34856.43
60138,37299.54
60691,62854.04
67692,67770.87
52476,74461.66
78582,74322.82
38356,32356.49
34897,57800.0
10576,17602.67
66889,80667.03
43189,55922.38
91287,80394.52
30769,24317.52
62953,49371.83
60704,82138.84
15094,15929.14
89156,66480.07
80126,55002.12
29097,20226.5
84637,83185.45
94793,91802.57
82699,66178.36
70699,83635.69
78639,84018.7
98445,89524.37
71954,74737.21
74515,68545.2
67264,66990.42
62421,59820.44
56043,68039.84
103713,94054.23
59509,34448.65
60173,69234.51
62657,66075.5
41487,51311.43
89599,74796.96
115131,106440.56
55650,49352.32
94766,96022.87
56316,41890.12
58645,66217.22
26365,31058.71
90378,79401.95
87344,81844.17
51895,52428.57
94076,100276.72
15628,33081.3
73026,82312.81
14501,16966.64
76229,55010.6
32951,43429.9
93586,90531.08
72198,71367.05
53463,64355.5
86534,61694.62
18263,28500.55
54765,79424.55
70414,67021.03
9637,6598.88
94426,91175.93
64912,58112.32
101103,89009.96
70222,86595.78
110607,81898.31
39089,60157.82
88898,76369.47
5679,7903.71
45764,56170.45
72209,73939.2
69538,52402.18
83668,77974.12
31392,30219.44
86845,76994.81
62699,78445.93
10374,9429.51
30084,46884.16
87822,48419.47
56790,59075.31
24283,28203.99
63753,56239.81
54780,52181.28
110384,96015.65
6857,6960.57
43018,66254.48
79846,89047.09
82427,77019.96
98148,84451.47
5994,7807.41
83324,88826.38
34489,47639.19
90909,91809.0
18073,12130.67
98655,83443.28
82189,82159.6
88887,56396.5
49615,35110.65
82783,74849.26
18590,22568.24
92502,83912.29
37840,47800.04
108184,113738.16
98271,90791.63
93506,88891.35
68233,71043.72
12083,6905.68
107683,96069.29
82741,71722.95
45397,48443.76
35097,41513.67
7119,7703.92
87374,90578.28
43424,43451.91
45548,60125.99
87435,96039.74
15486,16352.99
11394,19330.97
75638,91698.29
56749,71417.33
84168,70303.02
47964,54003.39
56614,45812.77
52892,59426.88
73841,52359.08
61440,39960.89
33823,49909.74
52987,55631.26
71334,57534.7
84961,60410.51
17529,16805.75
98417,79303.66
95587,73386.87
21779,19346.71
74108,80687.86
25718,27985.25
40012,48017.63
10689,10922.2
66886,62923.78
99345,85562.03
31708,48517.31
55490,41357.26
43487,32933.23
30558,31801.01
51787,77812.45
72698,86002.33
87814,89227.14
8251,7022.87
83781,75426.72
46920,66639.41
97233,87980.26
77490,70789.48
27271,17523.3
98962,98323.13
102408,96989.77
53821,55396.85
42542,59281.51
17053,11885.7
73245,85789.68
20426,23361.37
13071,15391.92
118915,109706.94
76615,85460.25
86590,74756.25
78046,67602.16
32160,59933.03
55970,71731.43
30554,44115.23
29960,34006.22
12346,21186.67
89309,75106.47
27864,45007.32
45789,43324.14
43194,39097.31
5462,13260.36
107967,75460.41
53209,42012.82
82180,91847.69
91828,44283.8
24382,33295.92
76463,87780.32
52414,52771.54
96362,91923.74
77216,75595.38
57690,74101.74
21618,36874.56
6423,7759.35
99587,90315.45
19863,26112.58
46257,55789.82
35416,47215.12
72333,49926.78
30317,29000.22
82282,59224.73
74355,82060.57
25167,15608.06
80473,68330.24
86135,90608.54
24143,32229.41
52766,66729.1
33354,52573.33
44946,31735.91
53741,56499.15
56386,74433.39
11462,12931.2
67485,25146.08
92551,74178.83
26700,41873.65
74094,54430.65
17403,24847.83
81553,64130.8
17954,17486.61
64020,65702.75
11898,11687.23
99226,104288.29
18147,11772.48
7919,7026.55
29746,31177.61
37867,35367.34
74889,54804.99
84414,80391.41
51548,54766.3
90922,54627.69
72599,90373.4
113402,98256.95
62874,68042.07
91898,92795.8
96223,88793.91
91707,94366.65
15307,24762.61
50455,56204.83
28523,33342.96
32049,50333.56
24805,37099.95
31824,32892.59
72109,89033.42
25958,45353.62
68263,71823.22
16645,15942.64
32860,37433.68
39857,47749.81
35277,47139.16
68221,49626.82
33047,53177.82
75133,59101.4
43042,43041.71
87568,76262.37
91336,75545.28
62146,59502.86
89028,76637.99
45698,61908.54
58234,71092.45
12013,10556.66
42582,43228.37
17337,14099.92
72365,73137.52
62669,56139.06
39467,50316.43
56599,56016.38
31558,29822.13
93350,89014.0
96421,96480.91
47027,45114.49
61901,58152.66
54094,74939.15
82422,45936.09
60004,49109.53
7498,12208.42
68650,79043.54
86769,91917.83
95727,88423.05
16057,19862.27
49972,50966.52
32950,34759.59
82286,88568.19
81757,71432.75
15275,17600.12
75712,87684.47
82452,79082.8
80484,59802.13
87656,61039.28
39454,35587.06
67676,55815.13
43166,46320.57
64299,79401.97
44904,34612.69
78578,70029.89
93490,90212.27
29743,31730.22
41989,46123.87
97099,75172.85
12821,12947.6
39041,32449.0
86855,79919.65
59417,47403.2
39872,51781.07
47185,67570.43
101094,97022.98
10184,12460.09
77128,77135.33
8404,8826.44
114428,96432.39
33992,12854.31
70288,68690.32
50206,24934.29
30918,46133.9
16255,11166.98
19716,34039.5
27846,39346.95
83857,76619.41
73215,82331.61
33650,43944.24
44204,20568.74
57016,68514.55
60317,70721.36
51223,51084.95
56313,71651.32
16918,24115.06
50918,67365.47
38358,45148.99
79887,75580.43
14828,12366.45
46026,54086.96
29926,21131.99
36795,41823.33
45264,57467.27
26041,31267.62
24962,45819.28
94415,75344.15
52008,53400.69
47187,51826.54
53409,46220.22
87796,60674.01
22080,33594.74
37676,33809.43
29443,38906.15
85947,37838.09
20956,25044.72
57363,58018.02
42762,41983.88
60084,51517.72
36780,34469.05
28708,29465.92
17072,28189.34
24054,38844.9
45180,33211.91
14545,21612.17
50875,66455.4
8287,13194.91
84318,82331.15
24254,19335.96
119634,101264.67
28006,47290.31
52234,56610.55
70282,69798.31
12282,24560.58
62553,54902.35
60512,86215.9
10751,22519.1
63542,77359.63
41722,50459.79
16350,27846.74
77517,79501.84
12344,12594.38
27856,14828.69
100279,91002.42
7512,10502.81
76805,55679.1
31775,42837.64
11132,7583.63
93564,76710.54
67830,29102.9
90056,73284.97
78022,63052.03
106446,111597.71
88557,88092.24
22993,21824.37
60799,56980.56
10518,10604.74
60423,56735.12
7012,7733.57
19865,36646.63
33807,36390.61
67553,71709.21
10974,14494.11
26342,26119.68
90279,95519.01
63001,81155.72
86700,87295.69
98939,75091.24
37488,39887.8
50815,52540.33
7891,9248.62
9903,12561.49
98440,87151.35
56795,56570.24
113834,83468.63
30945,42981.21
69419,92342.88
64313,53127.36
29210,31521.91
75018,68351.56
10627,13784.68
37012,40124.16
66013,75475.74
35983,33571.11
53732,68235.36
23464,30825.34
74809,56409.82
87641,74902.1
10149,17571.4
64852,64826.24
88564,85657.28
60445,68377.59
129074,108769.82
25734,24250.82
89265,92855.68
53531,71182.25
109768,97443.06
39286,32283.77
50177,58390.23
89568,69501.78
72184,87131.34
69064,55411.92
52443,69511.42
18657,19971.47
75577,83233.72
52958,67844.05
74349,88211.98
89410,86620.58
91790,64330.64
29132,47242.13
66633,56943.18
47995,63062.71
56288,72068.0
86757,80592.08
10829,14941.66
20425,25755.96
47754,75680.27
81029,96154.86
71940,75698.54
52246,50742.97
48677,40874.93
60561,59618.78
23299,27247.35
99170,99759.9
86003,77272.54
67780,75691.19
72315,79410.84
