country,region,year,month,avg_temperature,rainfall_mm,festival,covid_restriction,gdp_growth_rate,foreign_exchange_rate,internet_mentions,global_travel_index,airline_ticket_price,hotel_occupancy_rate,visa_required,num_tourists,revenue_usd
Sri Lanka,East,2016,12,20.71,150.4,1,0,3.2,76.03,1894.0,28.1,324.78,51.61,1,333121,76323069
Bhutan,North,2017,3,16.24,40.3,0,0,4.88,78.45,916.0,66.27,325.63,65.42,1,191536,43883800
Thailand,West,2015,2,25.0,142.7,1,0,3.75,71.11,1174.0,95.82,301.19,86.13,1,4299772,985142932
Thailand,East,2023,2,14.2,147.4,0,0,4.76,60.84,963.0,77.32,298.3,50.66,1,4188950,959751932
Nepal,North,2024,7,20.79,94.5,0,0,6.22,80.91,917.0,12.72,230.63,86.76,0,193886,44422221
Sri Lanka,South,2023,7,27.2,48.7,0,0,7.07,65.59,1284.0,52.62,356.23,53.85,0,311773,71431919
Bhutan,North,2015,3,19.04,120.3,0,0,3.22,68.14,1242.0,8.39,254.95,60.78,1,114899,26325102
Sri Lanka,West,2015,5,34.12,27.6,0,0,6.05,64.96,659.0,0.05,328.01,75.57,0,243430,55773502
Thailand,Central,2024,1,25.59,90.6,0,0,1.11,81.57,821.0,79.01,250.98,42.4,0,4199963,962275177
Sri Lanka,North,2020,3,24.78,81.3,0,0,3.71,76.91,1106.0,11.64,317.81,81.4,0,260779,59748421
India,South,2023,9,26.35,106.8,0,0,3.87,76.51,729.0,36.48,275.31,91.03,1,1154624,264541857
Nepal,Central,2017,1,29.35,73.7,0,0,3.14,80.96,1080.0,38.41,272.49,61.15,0,178633,40927527
Thailand,East,2023,2,24.78,87.0,0,0,6.58,90.93,1217.0,25.78,401.57,47.51,0,4038715,925330816
Bhutan,South,2016,3,41.68,128.7,0,0,3.61,70.4,1663.0,43.9,325.21,79.79,1,146262,33510840
India,West,2018,6,39.47,119.1,0,0,2.13,72.01,1205.0,81.88,316.23,41.29,1,1183945,271259743
Bhutan,North,2022,6,20.11,95.7,0,0,3.18,77.79,1487.0,12.46,280.93,93.53,0,119046,27275242
Bhutan,North,2021,3,16.21,122.9,0,0,4.17,75.44,1596.0,96.43,296.3,75.95,0,274265,62838268
Nepal,North,2023,1,21.54,104.8,0,0,4.93,67.54,1091.0,16.82,285.55,91.45,1,159439,36529891
Thailand,West,2020,10,35.12,100.9,0,1,2.69,76.26,772.0,67.2,327.7,85.16,1,4105253,940575681
Bhutan,North,2024,7,29.16,93.3,0,0,4.76,77.5,880.0,94.58,302.39,40.07,0,227210,52057254
Sri Lanka,North,2016,2,23.29,119.4,0,0,2.47,65.69,1429.0,85.94,368.82,49.79,1,361735,82878970
India,Central,2018,11,31.03,91.9,0,0,3.16,68.29,1061.0,67.37,289.23,40.23,0,1135767,260221433
Bhutan,North,2015,4,21.61,140.4,0,0,5.43,75.64,1245.0,38.84,280.55,41.19,1,116115,26603706
India,East,2024,1,22.76,151.3,0,0,4.39,74.14,1176.0,64.89,231.64,54.24,1,1198028,274486371
Bhutan,North,2023,4,26.52,116.9,0,0,2.82,73.21,779.0,89.98,280.32,64.23,1,248334,56897083
Sri Lanka,West,2019,12,24.67,104.8,0,0,4.47,54.3,1241.0,11.54,454.39,41.54,0,146812,33636854
Thailand,Central,2018,8,28.56,49.9,0,0,3.61,63.21,1223.0,47.23,287.93,64.29,0,4158199,952706412
Sri Lanka,West,2017,2,21.71,60.5,0,0,0.41,74.58,1206.0,42.6,297.49,86.95,1,334669,76677740
Sri Lanka,West,2018,2,38.37,124.6,0,0,3.02,69.71,845.0,7.61,291.69,83.96,1,295874,67789217
India,East,2018,5,30.77,53.9,0,0,4.98,81.88,1058.0,56.36,241.82,61.01,0,1180148,270389792
Thailand,South,2018,10,20.77,74.4,0,0,4.16,64.31,1064.0,95.77,264.61,55.05,1,4256189,975157406
Bhutan,North,2016,9,28.23,81.7,0,0,0.19,93.03,782.0,39.69,160.45,60.62,1,222963,51084202
India,West,2019,1,24.51,87.3,0,0,2.24,72.55,1239.0,21.67,211.07,47.68,0,1122802,257250955
Thailand,Central,2016,11,28.91,82.1,0,0,4.1,89.31,711.0,94.35,365.24,53.96,0,4191754,960394371
Sri Lanka,Central,2019,10,25.59,150.6,0,0,4.3,78.82,933.0,90.77,321.47,48.41,0,390349,89434871
Nepal,East,2021,7,25.52,14.7,0,0,2.35,82.4,960.0,95.61,320.48,56.6,1,268008,61404694
Sri Lanka,Central,2018,12,23.05,90.1,0,0,1.95,48.63,1119.0,59.82,283.94,54.29,0,373852,85655159
Nepal,South,2017,2,15.26,94.8,1,0,4.72,82.94,684.0,46.91,378.31,42.58,1,181399,41561260
Bhutan,Central,2022,12,22.14,147.6,0,1,3.61,72.73,946.0,2.66,313.65,92.28,1,7738,1772893
Sri Lanka,East,2016,4,18.98,142.4,0,0,3.59,58.75,692.0,22.53,284.62,48.94,1,266215,60993891
Nepal,South,2017,1,29.57,114.7,0,0,2.83,85.65,945.0,45.83,259.51,83.72,1,230069,52712294
Thailand,Central,2019,8,29.11,131.7,0,0,5.26,61.96,877.0,22.93,299.04,71.82,0,4092447,937641632
Sri Lanka,East,2024,1,32.23,110.0,0,1,1.41,80.52,356.0,35.29,378.49,48.89,0,170927,39161966
India,Central,2020,12,21.47,66.8,0,0,4.08,79.74,1367.0,27.14,304.33,74.95,0,1115972,255686098
Bhutan,North,2023,5,34.57,114.7,0,0,4.03,82.34,1098.0,6.52,244.47,62.41,1,102541,23493697
India,Central,2016,10,27.09,-2.8,0,0,3.74,85.27,1058.0,52.15,234.1,43.19,0,1161368,266087010
Nepal,North,2022,11,25.09,116.7,0,0,5.0,89.51,1091.0,45.68,193.47,73.05,1,241802,55400502
Thailand,East,2015,11,26.78,63.7,0,0,3.46,66.87,870.0,63.02,254.15,53.49,1,4188332,959610339
Bhutan,South,2021,2,24.81,70.9,0,0,3.25,73.93,1142.0,69.32,300.38,56.5,1,194332,44524406
Bhutan,South,2016,1,24.86,188.2,0,1,4.94,58.9,927.0,15.98,358.18,47.09,0,-20342,-4660660
India,North,2017,7,22.25,64.3,0,0,2.33,83.75,1349.0,78.54,276.96,53.93,0,1199432,274808049
India,Central,2019,8,23.58,131.9,0,0,3.99,82.57,1294.0,28.2,259.9,74.11,0,1143965,262099719
Nepal,South,2015,5,19.52,51.4,0,0,2.69,77.32,1460.0,48.45,218.35,93.83,1,266283,61009471
Thailand,East,2023,3,25.5,84.7,0,0,3.52,82.68,771.0,35.96,341.4,63.98,1,4095539,938350056
India,East,2018,12,30.08,103.4,0,0,2.78,74.61,1389.0,88.9,245.31,46.11,1,1232294,282337231
Bhutan,South,2024,4,25.45,57.8,0,0,3.55,68.21,1076.0,39.96,269.86,89.37,0,209430,47983587
India,North,2019,11,14.25,101.6,0,0,4.03,92.17,528.0,57.61,425.9,67.16,1,1091247,250021226
Nepal,West,2016,9,25.25,50.2,0,0,3.17,72.66,734.0,32.32,340.41,63.23,0,124388,28499176
Bhutan,West,2015,3,12.99,149.4,0,0,4.54,56.62,1366.0,16.4,287.44,76.82,0,114798,26301961
Nepal,East,2019,3,25.26,82.0,0,1,3.47,85.8,702.0,3.78,392.0,45.18,0,-42786,-9802921
Nepal,North,2022,8,24.94,104.3,0,0,2.24,87.66,1251.0,73.35,308.35,74.92,0,246163,56399674
Thailand,West,2017,11,24.08,118.9,0,0,4.79,92.43,972.0,10.86,271.57,60.13,1,4067009,931813401
Nepal,Central,2023,5,18.93,69.1,1,0,5.19,76.06,620.0,78.46,295.2,69.51,0,315064,72185937
Nepal,West,2016,11,24.1,149.2,1,0,3.38,80.34,829.0,10.02,322.62,66.98,0,176610,40464027
India,South,2022,7,18.83,171.4,0,1,3.19,78.83,1338.0,97.96,298.04,81.73,0,1160461,265879202
India,North,2023,3,34.47,133.2,1,0,3.19,80.11,1675.0,46.9,220.6,65.39,1,1237490,283527714
Thailand,East,2016,4,26.54,53.4,0,0,3.94,97.0,1205.0,17.22,188.48,62.43,1,4128430,945885883
Sri Lanka,West,2020,8,16.13,141.0,0,0,5.65,53.43,848.0,39.52,275.54,68.13,1,351497,80533289
Bhutan,East,2020,8,29.07,144.6,1,0,4.41,96.75,1072.0,73.1,291.63,43.48,0,230979,52920789
Sri Lanka,Central,2019,3,27.34,144.6,0,0,1.03,75.4,1500.0,40.32,263.04,73.85,1,347592,79638595
Sri Lanka,South,2023,12,25.13,111.6,0,0,5.78,55.5,778.0,23.22,332.69,52.99,1,274231,62830478
Sri Lanka,North,2021,3,23.04,121.8,0,0,0.94,72.0,1038.0,76.19,386.16,72.71,0,343612,78726716
Nepal,South,2019,5,25.24,94.1,0,0,2.08,64.45,578.0,40.53,308.74,89.79,0,175732,40262864
Bhutan,East,2019,8,16.95,65.2,0,0,3.92,85.13,597.0,83.05,382.55,56.7,0,177295,40620971
Bhutan,East,2021,6,27.38,175.6,0,0,4.39,93.75,755.0,46.68,268.34,43.11,1,132463,30349280
India,East,2024,3,33.94,79.7,0,0,3.47,79.62,1122.0,33.11,287.74,41.38,0,1106310,253472388
Sri Lanka,East,2015,10,25.86,98.0,0,0,2.61,86.38,993.0,27.53,346.37,66.64,1,262080,60046500
India,Central,2016,4,25.68,132.6,0,0,2.95,67.46,1106.0,67.35,338.44,58.01,0,1148700,263184579
India,East,2021,1,24.25,110.4,0,0,2.91,69.45,828.0,95.25,341.7,82.93,0,1249592,286300465
India,North,2018,5,16.16,126.4,1,0,3.18,76.7,1704.0,39.86,454.25,59.62,0,1089304,249576055
India,East,2020,7,18.07,123.7,0,0,2.54,64.91,922.0,64.65,290.98,93.94,1,1212998,277916225
Thailand,Central,2021,2,24.3,113.4,0,0,2.4,81.37,790.0,25.63,341.54,42.55,0,4050994,928144121
Thailand,North,2023,6,31.72,122.4,1,0,4.93,57.32,828.0,83.68,302.88,77.04,0,4275928,979679910
Nepal,East,2023,11,16.42,111.9,0,0,5.63,76.74,978.0,72.13,280.64,46.55,1,238223,54580499
India,Central,2023,4,27.37,109.5,0,0,2.98,77.09,1212.0,32.14,341.43,63.2,0,1091768,250140595
India,Central,2015,5,20.62,90.2,0,1,3.72,62.14,783.0,12.29,284.37,49.65,0,998233,228710309
Sri Lanka,West,2022,1,15.79,67.1,0,0,2.72,78.2,1169.0,43.04,342.36,58.38,1,292639,67048030
Nepal,North,2024,11,21.29,85.8,0,0,3.25,80.1,958.0,42.46,294.23,67.71,1,185265,42447019
Nepal,West,2020,7,22.76,86.7,0,0,2.87,69.9,572.0,17.64,290.25,77.82,0,152442,34926772
India,North,2023,6,11.4,90.2,1,0,2.92,77.79,825.0,86.03,342.86,73.45,0,1264650,289750481
Sri Lanka,Central,2022,9,34.94,73.8,1,0,5.77,78.25,1503.0,51.6,289.05,76.3,0,422779,96865076
India,West,2022,5,25.34,110.3,0,0,3.98,83.43,1084.0,44.03,310.9,52.04,0,1118058,256164032
Sri Lanka,West,2022,12,29.82,47.0,1,0,1.6,78.25,1045.0,55.74,353.61,61.33,0,387735,88835964
Nepal,East,2017,9,34.0,36.0,0,0,3.49,75.9,1317.0,17.7,288.05,75.69,0,140767,32251853
Bhutan,West,2017,5,24.7,144.0,1,0,4.67,70.1,841.0,27.62,331.82,40.79,0,118167,27073850
India,East,2024,5,19.73,129.5,0,0,2.96,69.69,901.0,34.78,261.06,76.04,0,1165169,266957877
Bhutan,North,2015,3,21.62,5.0,1,0,2.51,78.76,782.0,99.89,279.64,66.39,0,327402,75012760
Bhutan,Central,2017,10,25.61,37.5,1,0,4.33,89.73,1081.0,56.55,288.58,43.42,0,199065,45608808
Thailand,North,2020,10,29.58,78.7,0,0,4.11,57.67,608.0,12.31,399.49,81.26,0,4042367,926167545
Bhutan,North,2022,8,24.11,50.1,0,0,4.61,67.47,744.0,83.84,303.44,59.75,1,240224,55038959
India,Central,2017,3,23.09,73.7,0,0,4.27,66.63,1297.0,28.48,240.12,50.98,0,1120697,256768667
Nepal,North,2023,8,34.06,11.3,0,0,4.39,67.99,756.0,55.98,261.11,66.47,0,244213,55952899
Bhutan,South,2016,1,24.02,49.2,0,0,2.55,63.84,1348.0,79.1,292.88,51.01,1,234901,53819379
Thailand,North,2018,11,27.12,132.4,0,0,2.55,82.15,801.0,62.58,297.92,89.96,1,4193188,960722922
Thailand,East,2023,10,29.72,121.4,0,0,5.92,67.45,1375.0,54.3,311.08,46.81,0,4128367,945871448
Sri Lanka,East,2021,11,18.73,91.1,1,1,3.35,65.63,614.0,15.26,367.69,68.7,0,209138,47916685
Bhutan,West,2021,11,20.69,70.7,0,0,-0.23,78.98,1444.0,46.91,266.72,59.03,1,165036,37812248
Nepal,East,2023,5,24.94,86.3,0,0,3.78,70.85,785.0,1.39,282.77,58.27,0,100065,22926408
Sri Lanka,South,2023,3,24.96,95.1,1,0,1.7,85.3,489.0,52.85,322.3,52.68,0,386917,88648548
India,North,2024,6,16.66,87.8,0,0,2.43,87.49,743.0,47.33,280.09,82.98,1,1171303,268363269
Nepal,East,2017,6,23.27,56.0,0,0,3.32,70.34,1022.0,69.35,295.99,93.99,1,256457,58758185
Thailand,North,2016,7,28.08,132.5,0,0,3.32,67.64,831.0,24.01,313.73,50.02,0,4072390,933046269
Thailand,South,2021,2,29.76,168.1,0,1,5.62,82.05,847.0,75.53,264.32,43.9,0,4119813,943911597
Bhutan,North,2019,6,19.11,70.3,0,0,4.09,77.67,1211.0,89.9,244.02,59.72,1,274544,62902191
Thailand,East,2019,1,22.56,85.7,0,0,5.37,75.95,906.0,99.79,312.91,58.42,0,4226141,968272953
Bhutan,South,2015,2,28.49,108.1,0,0,5.4,76.38,885.0,88.42,286.34,61.64,0,243968,55896766
Nepal,Central,2015,10,20.91,96.2,0,0,5.82,83.59,1047.0,20.19,357.74,81.27,0,127966,29318950
Bhutan,West,2017,9,24.25,87.9,0,0,-0.06,70.03,1134.0,53.18,275.41,90.04,0,198802,45548551
India,East,2022,7,20.38,117.1,0,0,2.38,72.0,1458.0,37.8,231.61,44.98,0,1138240,260788035
Thailand,North,2015,4,24.16,154.6,0,0,4.44,66.96,560.0,31.34,385.15,79.24,0,4086345,936243571
Thailand,South,2018,3,23.55,134.0,0,0,1.32,80.08,859.0,91.13,183.54,71.09,0,4292382,983449771
Bhutan,Central,2019,5,27.17,79.7,0,0,3.43,72.24,1005.0,36.4,332.89,68.72,1,136676,31314543
Bhutan,North,2017,5,16.83,140.5,0,0,2.49,59.35,858.0,38.73,378.55,56.48,0,97643,22371491
Nepal,West,2024,1,22.8,68.5,0,0,2.87,65.34,865.0,2.64,332.43,61.07,1,80462,18435063
India,North,2019,9,19.51,95.1,0,0,7.6,75.52,1473.0,74.96,311.71,75.72,1,1192888,273308720
Nepal,Central,2015,11,16.91,42.8,0,0,5.01,64.1,977.0,2.71,328.93,94.27,0,126878,29069672
Bhutan,East,2016,7,18.58,56.5,1,0,6.06,78.37,1172.0,64.0,215.41,62.65,0,275524,63126724
Sri Lanka,North,2018,11,25.49,95.7,0,0,6.72,78.72,1191.0,0.28,234.14,62.09,0,284336,65145686
Nepal,East,2017,11,32.12,118.3,0,0,2.67,58.08,449.0,55.22,276.97,82.43,1,236667,54223996
Nepal,East,2020,4,26.63,139.1,0,0,3.41,82.62,575.0,48.07,287.75,69.84,0,194234,44501953
India,West,2015,8,23.55,113.5,0,0,3.95,75.27,1045.0,97.75,225.63,53.35,0,1257327,288072671
Sri Lanka,East,2022,1,22.01,143.9,0,0,2.06,80.8,1028.0,23.89,325.25,58.66,1,269054,61644349
Sri Lanka,North,2020,8,20.47,120.8,1,0,2.78,80.18,708.0,9.29,292.79,64.33,0,306092,70130316
Bhutan,North,2017,6,28.85,103.0,0,0,2.06,70.68,1007.0,46.11,293.15,45.86,0,144559,33120657
Sri Lanka,Central,2023,7,20.68,100.8,0,0,2.26,63.62,1375.0,69.27,264.98,40.27,0,374872,85888856
Bhutan,North,2022,5,23.92,106.2,0,0,2.5,61.11,490.0,26.39,455.21,52.67,1,26810,6142577
Bhutan,South,2019,7,30.84,69.6,1,0,3.48,84.71,756.0,93.56,238.19,67.9,1,340436,77999047
Thailand,North,2015,5,24.28,127.1,0,0,3.09,80.59,421.0,88.64,162.96,67.04,0,4299231,985018980
Nepal,East,2016,11,31.26,220.0,0,0,4.2,84.13,697.0,4.0,305.63,53.86,0,105484,24167983
Nepal,South,2021,2,23.33,52.6,1,0,0.88,76.83,1493.0,63.86,337.22,67.53,0,261588,59933775
Bhutan,East,2023,7,30.05,124.5,0,0,3.58,69.58,935.0,53.65,216.75,46.99,0,195664,44829587
Sri Lanka,South,2019,2,32.19,110.3,0,0,5.39,70.61,841.0,6.76,205.51,74.89,0,303543,69546301
Bhutan,West,2017,6,27.79,55.0,0,0,6.7,79.45,1211.0,80.21,248.5,90.04,1,288742,66155168
India,North,2022,11,27.28,45.1,0,0,2.35,74.92,829.0,12.79,311.95,57.73,1,1065345,244086685
Sri Lanka,North,2020,3,19.06,133.2,1,0,4.43,75.65,954.0,91.49,226.18,67.47,1,522328,119673261
Nepal,North,2022,1,27.19,66.6,1,0,3.34,70.84,1305.0,70.79,227.0,62.48,1,337334,77288331
Nepal,East,2021,2,24.14,74.4,0,0,3.07,79.71,633.0,60.25,353.1,79.47,1,214391,49120227
Thailand,West,2018,3,24.22,115.1,0,0,6.76,54.48,837.0,38.95,319.32,72.23,1,4124706,945032658
Nepal,East,2024,6,22.54,79.5,0,0,2.44,71.88,1214.0,5.67,390.52,40.53,1,42320,9696153
Sri Lanka,South,2024,9,31.27,101.8,0,0,2.31,83.97,871.0,18.55,295.59,50.12,0,251048,57518901
Bhutan,East,2016,6,25.41,-6.9,0,0,0.74,74.94,1111.0,85.24,317.1,50.21,0,198508,45481191
Thailand,South,2015,4,31.0,84.0,0,0,4.7,59.15,632.0,8.45,400.76,66.93,0,4020233,921096310
Nepal,South,2024,10,22.53,89.2,1,0,3.0,71.58,306.0,42.68,265.07,73.2,1,264740,60655946
Sri Lanka,West,2017,12,30.93,125.9,1,0,0.33,64.34,1033.0,85.84,367.88,77.87,1,457293,104772756
Sri Lanka,North,2024,7,22.41,27.3,0,1,1.14,74.75,1214.0,28.07,257.22,88.5,1,290869,66642496
Sri Lanka,East,2024,8,23.93,114.3,0,0,4.02,88.51,591.0,78.45,368.09,79.96,0,380655,87213829
Sri Lanka,Central,2024,11,25.09,113.8,0,0,2.83,60.44,1175.0,40.02,298.3,88.08,1,358071,82039492
India,North,2020,3,22.25,86.2,0,1,1.96,75.89,937.0,6.9,316.49,80.11,0,978031,224081725
Thailand,East,2019,12,26.78,121.0,0,0,2.18,72.77,1232.0,58.08,285.43,75.89,1,4184505,958733515
Nepal,Central,2018,11,31.66,109.7,0,0,5.05,73.03,1090.0,67.29,244.69,66.35,0,270022,61866132
India,Central,2020,1,24.26,98.7,0,0,2.47,73.37,1042.0,76.91,310.63,79.57,0,1213234,277970297
Thailand,Central,2024,4,24.56,160.4,0,0,4.33,74.05,938.0,86.71,321.41,55.81,0,4190441,960093542
Bhutan,Central,2018,9,33.7,93.6,1,0,2.81,72.33,1088.0,75.76,280.82,56.75,0,276383,63323534
Sri Lanka,North,2019,2,23.8,124.8,1,0,1.78,65.68,1123.0,32.47,267.06,76.01,1,393859,90239066
Sri Lanka,East,2018,12,22.43,88.4,0,1,5.07,76.7,768.0,91.54,268.12,67.78,0,355641,81482743
India,South,2022,8,21.79,82.7,0,0,2.01,77.23,655.0,13.7,159.51,53.23,0,1121799,257021152
Thailand,East,2024,10,29.92,121.3,0,0,4.84,79.31,496.0,70.7,301.9,58.48,0,4188806,959718939
Thailand,South,2019,1,32.73,130.4,0,0,1.67,74.75,775.0,97.41,311.45,54.0,0,4224189,967825721
Thailand,North,2024,10,21.19,66.9,0,1,4.89,75.14,1216.0,45.54,311.81,58.8,1,4047545,927353903
Nepal,East,2015,7,31.46,38.3,0,0,4.25,63.94,1140.0,75.22,284.32,60.46,0,256318,58726338
Sri Lanka,Central,2015,11,24.49,77.8,0,0,3.64,94.13,915.0,70.39,273.07,62.47,0,390891,89559052
Nepal,East,2024,9,26.58,75.7,0,0,1.57,70.71,513.0,29.06,239.52,55.36,1,171203,39225202
India,South,2021,9,21.25,5.8,1,0,3.39,72.98,1022.0,4.76,226.43,71.41,0,1157539,265209728
Bhutan,East,2024,3,33.04,55.1,0,0,2.45,68.52,492.0,81.72,237.65,78.43,0,272984,62544771
Sri Lanka,East,2022,11,12.5,126.1,0,0,4.04,60.82,957.0,12.72,214.35,82.5,1,330145,75641223
Nepal,North,2022,11,25.39,16.2,0,1,4.42,74.72,981.0,53.66,376.72,94.38,1,118556,27162976
Sri Lanka,East,2020,5,14.08,108.2,0,0,2.97,72.32,983.0,9.43,354.0,44.65,1,204253,46797457
Thailand,South,2015,3,17.87,70.5,0,0,0.98,62.49,1292.0,80.87,352.55,56.04,0,4171569,955769681
